VARIANT;NUM_THREADS;Value_Pi;CPU_Time;User_Time;
2;8;3.141591;16.060000;2.018160;
2;8;3.141591;16.070000;2.011032;
0;1;3.141579;16.030000;16.032939;
2;8;3.141591;16.060000;2.009758;
2;1;3.141579;16.030000;16.031375;
2;8;3.141591;16.060000;2.010659;
0;1;3.141579;16.030000;16.031624;
2;1;3.141579;16.040000;16.039575;
0;1;3.141579;16.030000;16.031580;
2;8;3.141591;16.060000;2.009333;
0;1;3.141579;16.020000;16.030550;
2;1;3.141579;16.030000;16.033197;
2;1;3.141579;16.040000;16.044822;
1;1;3.141579;32.760000;32.762339;
2;8;3.141591;16.060000;2.011190;
0;1;3.141579;16.030000;16.031796;
1;1;3.141579;32.770000;32.777230;
2;1;3.141579;16.030000;16.032337;
0;1;3.141579;16.080000;16.081461;
2;8;3.141591;16.070000;2.010094;
1;1;3.141579;32.760000;32.761678;
2;1;3.141579;16.030000;16.032677;
1;1;3.141579;32.760000;32.764148;
2;8;3.141591;16.060000;2.009878;
0;1;3.141579;16.030000;16.033163;
1;1;3.141579;32.760000;32.761035;
2;1;3.141579;16.030000;16.030592;
0;1;3.141579;16.030000;16.032192;
1;1;3.141579;32.760000;32.761068;
2;8;3.141591;16.060000;2.009841;
2;1;3.141579;16.030000;16.033832;
0;1;3.141579;16.030000;16.033180;
1;1;3.141579;32.760000;32.761712;
2;1;3.141579;16.030000;16.031927;
2;8;3.141591;16.080000;2.166797;
1;1;3.141579;32.770000;32.775707;
0;1;3.141579;16.030000;16.031959;
2;1;3.141579;16.030000;16.031836;
1;1;3.141579;32.760000;32.762182;
1;1;3.141579;32.760000;32.761915;
1;8;3.141555;1193.400000;150.032145;
1;8;3.141586;1232.850000;154.122788;
1;8;3.141563;1208.160000;151.531517;
1;8;3.141589;1188.850000;149.384981;
1;8;3.141560;1202.750000;150.958645;
1;8;3.141570;1196.690000;150.363642;
1;8;3.141567;1188.350000;149.332081;
1;8;3.141556;1212.460000;151.975440;
1;8;3.141556;1201.730000;150.906035;
1;8;3.141572;1195.670000;150.255420;
