_________________________________________________
| Variant | Num threads |  CPU time | User time |
-------------------------------------------------
|    0    |      1      |    9.9399 |    9.9408 |
|    0    |      1      |   10.3115 |   10.3124 |
|    0    |      1      |   10.3320 |   10.3321 |
|    0    |      1      |   10.0928 |   10.0929 |
|    0    |      1      |   10.0846 |   10.0847 |
|    0    |      1      |    9.9751 |    9.9752 |
|    0    |      1      |   10.0327 |   10.0328 |
|    0    |      1      |   10.0342 |   10.0343 |
|    0    |      1      |   10.0009 |   10.0009 |
|    0    |      1      |    9.9874 |    9.9875 |
-------------------------------------------------
|    1    |      1      |   10.4839 |   10.4904 |
|    1    |      1      |   10.7942 |   10.8022 |
|    1    |      1      |   11.1683 |   11.1729 |
|    1    |      1      |   10.4453 |   10.4503 |
|    1    |      1      |   10.5877 |   10.5904 |
|    1    |      1      |   10.4742 |   10.4805 |
|    1    |      1      |   10.5342 |   10.5391 |
|    1    |      1      |   10.4682 |   10.4756 |
|    1    |      1      |   10.4670 |   10.4747 |
|    1    |      1      |   10.5306 |   10.5344 |
|    1    |      2      |   34.0556 |   17.0328 |
|    1    |      2      |   35.6312 |   17.8218 |
|    1    |      2      |   35.8565 |   17.9307 |
|    1    |      2      |   34.0581 |   17.0351 |
|    1    |      2      |   35.0412 |   17.5273 |
|    1    |      2      |   35.5381 |   17.7722 |
|    1    |      2      |   34.5580 |   17.2887 |
|    1    |      2      |   34.3940 |   17.2023 |
|    1    |      2      |   34.8353 |   17.4247 |
|    1    |      2      |   35.1199 |   17.5676 |
|    1    |      4      |   94.3131 |   23.5842 |
|    1    |      4      |   97.3491 |   24.3436 |
|    1    |      4      |  100.0014 |   25.0080 |
|    1    |      4      |   94.9506 |   23.7462 |
|    1    |      4      |   94.9883 |   23.7528 |
|    1    |      4      |   95.4835 |   23.8720 |
|    1    |      4      |   95.5363 |   23.8894 |
|    1    |      4      |   94.0754 |   23.5233 |
|    1    |      4      |   94.6294 |   23.6618 |
|    1    |      4      |   94.6257 |   23.6591 |
|    1    |      8      |  268.7140 |   33.6130 |
|    1    |      8      |  270.3905 |   33.8251 |
|    1    |      8      |  269.5464 |   33.7200 |
|    1    |      8      |  269.8230 |   33.7494 |
|    1    |      8      |  266.2679 |   33.3043 |
|    1    |      8      |  266.4781 |   33.3336 |
|    1    |      8      |  266.1494 |   33.2902 |
|    1    |      8      |  266.3216 |   33.3118 |
|    1    |      8      |  266.0152 |   33.2791 |
|    1    |      8      |  265.8725 |   33.2584 |
|    1    |     12      |  512.5350 |   42.7651 |
|    1    |     12      |  530.3310 |   44.2566 |
|    1    |     12      |  534.5113 |   44.6167 |
|    1    |     12      |  529.5055 |   44.1837 |
|    1    |     12      |  538.8113 |   44.9550 |
|    1    |     12      |  537.0282 |   44.8097 |
|    1    |     12      |  540.6396 |   45.0988 |
|    1    |     12      |  540.8234 |   45.1210 |
|    1    |     12      |  540.2091 |   45.0697 |
|    1    |     12      |  540.7511 |   45.1159 |
-------------------------------------------------
|    2    |      1      |   10.2702 |   10.2772 |
|    2    |      1      |   10.0074 |   10.0126 |
|    2    |      1      |   10.0904 |   10.0931 |
|    2    |      1      |   10.1340 |   10.1366 |
|    2    |      1      |    9.9888 |    9.9927 |
|    2    |      1      |   10.0025 |   10.0073 |
|    2    |      1      |    9.9620 |    9.9664 |
|    2    |      1      |    9.9989 |   10.0019 |
|    2    |      1      |   10.0018 |   10.0104 |
|    2    |      1      |   10.0286 |   10.0371 |
|    2    |      2      |   10.3921 |    5.2125 |
|    2    |      2      |   10.2576 |    5.1341 |
|    2    |      2      |   10.2916 |    5.1600 |
|    2    |      2      |   10.2511 |    5.1385 |
|    2    |      2      |   10.2434 |    5.1404 |
|    2    |      2      |   10.1976 |    5.1070 |
|    2    |      2      |   10.1794 |    5.1007 |
|    2    |      2      |   10.1728 |    5.0959 |
|    2    |      2      |   10.2196 |    5.1227 |
|    2    |      2      |   10.2012 |    5.1186 |
|    2    |      4      |   10.7783 |    2.7078 |
|    2    |      4      |   10.6821 |    2.6849 |
|    2    |      4      |   10.5187 |    2.6411 |
|    2    |      4      |   10.6163 |    2.6760 |
|    2    |      4      |   10.4703 |    2.6315 |
|    2    |      4      |   10.5122 |    2.6394 |
|    2    |      4      |   10.5202 |    2.6476 |
|    2    |      4      |   10.5074 |    2.6436 |
|    2    |      4      |   10.5240 |    2.6539 |
|    2    |      4      |   10.5027 |    2.6403 |
|    2    |      8      |   11.5413 |    1.4722 |
|    2    |      8      |   11.4591 |    1.4450 |
|    2    |      8      |   10.9786 |    1.3844 |
|    2    |      8      |   11.0157 |    1.3979 |
|    2    |      8      |   10.9710 |    1.4022 |
|    2    |      8      |   10.9777 |    1.3840 |
|    2    |      8      |   10.9567 |    1.3862 |
|    2    |      8      |   10.9801 |    1.3850 |
|    2    |      8      |   10.9538 |    1.3821 |
|    2    |      8      |   10.9752 |    1.3815 |
|    2    |     12      |   12.9770 |    1.2225 |
|    2    |     12      |   13.6341 |    1.3453 |
|    2    |     12      |   11.5905 |    1.0410 |
|    2    |     12      |   11.6154 |    0.9976 |
|    2    |     12      |   11.3494 |    0.9613 |
|    2    |     12      |   11.3813 |    0.9649 |
|    2    |     12      |   11.3183 |    0.9638 |
|    2    |     12      |   11.3690 |    0.9694 |
|    2    |     12      |   11.5454 |    1.0188 |
|    2    |     12      |   11.3513 |    0.9613 |
-------------------------------------------------
