VARIANT;Value_Pi;OMP Time;User Time;CPU;
0;3.141565;8.618398;8.618398;8.723321;
0;37.699045;1266.532625;1266.532626;14050.360210;
1;37.779721;370.711797;370.711797;4356.259602;
2;3.153564;112.210809;112.210809;112.210766;
0;37.699022;1203.822027;1203.822028;13794.623797;
1;37.493070;516.843132;516.843132;5643.705004;
2;3.153858;129.030851;129.030851;129.030790;
0;37.699057;1130.429909;1130.429910;12979.426902;
1;37.772535;362.405243;362.405244;4301.775730;
2;3.153164;111.069727;111.069727;111.069258;
0;37.699128;1321.035837;1321.035837;15049.449943;
1;37.646052;472.454745;472.454745;4983.714237;
2;3.153933;135.365316;135.365317;135.365166;
0;37.699093;1031.284488;1031.284488;11490.659168;
1;37.718096;388.507861;388.507861;4541.124067;
