NUM_THREDS;VARIANT;Value_Pi;OMP Time;User Time;CPU Time;
1;0;3.141838;0.264700;0.264700;0.260000;
1;2;3.141838;0.079987;0.079987;0.080000;
2;2;3.141838;0.079970;0.079970;0.080000;
2;0;3.141398;1.087177;1.087178;2.160000;
1;1;3.210342;5.577937;5.577937;5.570000;
4;0;3.141322;2.575850;2.575849;10.140000;
4;2;3.141838;0.081583;0.081583;0.080000;
8;2;3.141838;0.080038;0.080037;0.080000;
8;0;3.141789;4.413417;4.413416;35.010000;
2;1;3.137993;10.697455;10.697454;21.390000;
4;1;3.139615;9.790580;9.790580;39.150000;
8;1;3.142519;11.216931;11.216931;89.670000;
1;0;3.141838;0.264776;0.264776;0.260000;
1;2;3.141838;0.080029;0.080030;0.080000;
2;0;3.141398;1.084236;1.084236;2.150000;
2;2;3.141838;0.080008;0.080008;0.080000;
1;1;3.225873;5.667270;5.667271;5.660000;
4;0;3.141322;2.587871;2.587872;10.260000;
4;2;3.141838;0.080069;0.080069;0.080000;
2;1;3.149554;10.465751;10.465752;20.920000;
1;0;3.141838;0.265027;0.265027;0.260000;
8;2;3.141838;0.080071;0.080072;0.080000;
8;0;3.143112;4.407475;4.407475;34.880000;
1;2;3.141838;0.080561;0.080561;0.080000;
4;1;3.141833;10.090312;10.090313;40.350000;
2;0;3.141398;1.097766;1.097766;2.180000;
2;2;3.141838;0.126840;0.126840;0.120000;
1;1;3.182275;5.682978;5.682978;5.670000;
8;1;3.139698;11.391737;11.391737;91.080000;
4;0;3.141322;2.635468;2.635468;10.350000;
4;2;3.141838;0.079918;0.079919;0.070000;
8;2;3.141838;0.080077;0.080077;0.080000;
2;1;3.113162;10.854649;10.854649;21.700000;
1;0;3.141838;0.264635;0.264635;0.260000;
8;0;3.141898;4.704361;4.704361;37.170000;
4;1;3.140180;10.041390;10.041390;40.160000;
1;2;3.141838;0.080012;0.080012;0.080000;
2;0;3.141398;1.102494;1.102493;2.190000;
1;1;3.148696;5.560092;5.560092;5.550000;
2;2;3.141838;0.080119;0.080119;0.080000;
8;1;3.138667;11.195806;11.195806;89.530000;
4;0;3.141322;2.555663;2.555664;10.090000;
4;2;3.141838;0.080041;0.080041;0.080000;
8;2;3.141838;0.080117;0.080117;0.070000;
2;1;3.104317;10.621645;10.621645;21.240000;
1;0;3.141838;0.264676;0.264676;0.260000;
8;0;3.141789;4.408964;4.408964;35.000000;
1;2;3.141838;0.080232;0.080232;0.070000;
4;1;3.140526;9.908224;9.908224;39.630000;
2;0;3.141398;1.083626;1.083626;2.150000;
1;1;3.163138;5.520165;5.520165;5.510000;
4;0;3.141322;2.534821;2.534821;9.980000;
8;1;3.139518;11.068715;11.068715;88.480000;
4;2;3.141838;0.079997;0.079997;0.080000;
8;2;3.141838;0.079906;0.079905;0.080000;
2;1;3.133602;10.300840;10.300840;20.590000;
1;0;3.141838;0.264636;0.264636;0.260000;
8;0;3.142819;4.392851;4.392851;30.700000;
1;2;3.141838;0.080056;0.080056;0.080000;
2;0;3.141398;1.087291;1.087291;2.160000;
4;1;3.142648;10.151117;10.151118;40.600000;
1;1;3.151251;5.569919;5.569919;5.560000;
2;2;3.141838;0.080156;0.080156;0.080000;
8;1;3.137154;11.268398;11.268398;90.110000;
4;2;3.141838;0.079962;0.079962;0.080000;
4;0;3.141322;2.584426;2.584426;10.240000;
8;2;3.141838;0.079926;0.079925;0.080000;
2;1;3.122095;10.649110;10.649110;21.290000;
8;0;3.142350;4.696216;4.696216;37.020000;
1;0;3.141838;0.264644;0.264644;0.260000;
1;2;3.141838;0.080183;0.080182;0.080000;
4;1;3.140157;9.909531;9.909531;39.630000;
2;0;3.141398;1.146362;1.146362;2.280000;
2;2;3.141838;0.080004;0.080004;0.080000;
1;1;3.250823;5.629907;5.629907;5.630000;
8;1;3.139661;11.174817;11.174816;89.370000;
4;2;3.141838;0.080066;0.080066;0.080000;
8;2;3.141838;0.080022;0.080022;0.080000;
8;0;3.142017;4.410893;4.410893;34.800000;
1;0;3.141838;0.264757;0.264757;0.260000;
2;1;3.104454;10.709881;10.709881;21.410000;
1;2;3.141838;0.080103;0.080103;0.080000;
4;1;3.141070;9.737079;9.737079;38.940000;
2;0;3.141398;1.030554;1.030555;1.970000;
1;1;3.193916;5.785155;5.785155;5.780000;
2;2;3.141838;0.080021;0.080020;0.070000;
4;0;3.141322;2.557692;2.557691;10.040000;
4;2;3.141838;0.080004;0.080004;0.080000;
8;1;3.137442;11.033797;11.033797;86.440000;
8;2;3.141838;0.080009;0.080009;0.080000;
1;0;3.141838;0.264695;0.264694;0.260000;
8;0;3.141789;4.330392;4.330392;33.820000;
2;1;3.091852;11.037781;11.037781;22.060000;
1;2;3.141838;0.079988;0.079989;0.080000;
4;1;3.142450;9.966600;9.966601;39.860000;
2;0;3.141398;1.112359;1.112359;2.220000;
2;2;3.141838;0.079999;0.079999;0.070000;
1;1;3.208895;5.620808;5.620808;5.610000;
8;1;3.137898;11.176582;11.176582;89.380000;
4;0;3.141322;2.625100;2.625100;10.340000;
