NumThreads;Result;executionTime
8;54432997389644;2.2233;
8;54432997389644;2.2194;
8;54432997389644;2.2333;
4;54432997389644;3.6179;
4;54432997389644;3.6263;
4;54432997389644;3.6385;
8;54432997389644;2.2200;
8;54432997389644;2.2215;
4;54432997389644;3.6121;
4;54432997389644;3.6117;
2;54432997389644;6.7702;
2;54432997389644;6.9596;
2;54432997389644;6.7370;
4;54432997389644;3.6264;
8;54432997389644;2.2232;
8;54432997389644;2.2239;
2;54432997389644;6.7678;
4;54432997389644;3.6191;
2;54432997389644;6.7720;
1;54432997389644;13.2871;
4;54432997389644;3.6211;
2;54432997389644;6.8387;
8;54432997389644;2.2380;
1;54432997389644;13.2305;
1;54432997389644;13.3286;
8;54432997389644;2.2213;
4;54432997389644;3.6323;
2;54432997389644;6.7756;
4;54432997389644;3.6435;
1;54432997389644;13.2262;
1;54432997389644;13.2331;
1;54432997389644;13.2316;
2;54432997389644;6.7431;
2;54432997389644;6.7710;
1;54432997389644;13.2426;
1;54432997389644;13.2395;
1;54432997389644;13.2676;
1;54432997389644;13.2284;
