NumThreads;Result;executionTime
1;35309705;17.9729;
2;533567854;19.0877;
4;3481449543;22.3961;
8;3971615271;22.9899;
1;35309705;20.4492;
2;2418429959;21.2168;
4;29752374;21.3621;
8;1254070112;23.0384;
2;1820635649;20.5056;
2;3279654571;20.5248;
4;3485859179;18.1982;
2;2639878629;19.0464;
4;1012586222;21.9939;
1;35309705;20.5693;
1;35309705;20.7390;
2;1627469864;14.9299;
4;2273343801;14.4366;
8;2128288177;22.8071;
8;4032859989;23.0097;
8;2200114600;19.0123;
1;35309705;17.3826;
1;35309705;20.4838;
2;2846756946;20.8877;
2;1247839850;15.0224;
8;1825417105;22.5906;
4;1617182797;21.4945;
8;99141997;19.1429;
2;2153835753;20.8898;
1;35309705;20.3756;
4;2576811148;21.7261;
1;35309705;18.8882;
4;731064069;19.8916;
4;735035338;22.1320;
2;274752595;21.5366;
8;3690903291;23.0575;
8;1727990801;22.7644;
2;1660041938;16.4873;
1;35309705;20.3233;
4;4234505446;21.5239;
8;2769472461;22.9807;
