VARIANT;NUM_THREADS;Value_Pi;User_Time;
2;8;3.141669;0.203625;
0;8;3.141669;0.199170;
2;8;3.141669;0.203580;
0;8;3.141669;0.210024;
0;8;3.141669;0.198483;
2;8;3.141669;0.210741;
0;8;3.141669;0.203471;
1;8;3.141669;1.266570;
1;8;3.141669;1.630184;
2;8;3.141669;0.203676;
1;8;3.141669;3.878315;
0;8;3.141669;0.198940;
1;8;3.141669;2.222505;
2;8;3.141669;0.203752;
0;8;3.141669;0.199130;
1;8;3.141669;1.269054;
1;8;3.141669;2.104118;
2;8;3.141669;0.203683;
1;8;3.141669;1.267934;
2;8;3.141669;0.203652;
0;8;3.141669;0.199402;
2;8;3.141669;0.215132;
0;8;3.141669;0.199111;
0;8;3.141669;0.199398;
1;8;3.141669;2.321698;
2;8;3.141669;0.208772;
1;8;3.141669;2.599399;
