Variant, Problem Size, Time in s, Correct solution
Ex01 nV, 128, 0.162536, 1
Ex01 nV, 256, 0.316988, 1
Ex01 V, 128, 0.107218, 1
Ex01 nV, 512, 0.435583, 1
Ex01 V, 256, 0.214038, 1
Ex01 nV, 1024, 1.243756, 1
Ex01 V, 1024, 0.864299, 1
Ex01 nV, 2048, 2.480090, 1
Ex01 V, 2048, 1.723576, 1
Ex01 nV, 4096, 4.481038, 1
Ex01 V, 4096, 4.479681, 1
Ex01 V, 8192, 9.117974, 1
Ex01 nV, 8192, 11.190399, 1
Ex01 nV, 16384, 18.250130, 1
Ex01 V, 16384, 18.285395, 1
Ex01 nV, 512, 0.435650, 1
Ex01 V, 512, 0.435653, 1
Ex01 V, 2048, 1.723504, 1
Ex01 nV, 4096, 4.525799, 1
Ex01 nV, 256, 0.316929, 1
Ex01 nV, 512, 0.625817, 1
Ex01 V, 128, 0.107340, 1
Ex01 V, 4096, 4.471712, 1
Ex01 V, 1024, 0.864334, 1
Ex01 nV, 2048, 2.480292, 1
Ex01 V, 2048, 1.723563, 1
Ex01 nV, 4096, 4.516453, 1
Ex01 V, 8192, 9.174580, 1
Ex01 nV, 128, 0.107329, 1
Ex01 V, 4096, 4.507136, 1
Ex01 nV, 512, 0.435529, 1
Ex01 nV, 256, 0.214099, 1
Ex01 nV, 1024, 0.864468, 1
Ex01 nV, 2048, 1.723404, 1
Ex01 nV, 8192, 9.131316, 1
Ex01 V, 256, 0.214329, 1
Ex01 V, 128, 0.107264, 1
Ex01 V, 512, 0.435611, 1
Ex01 V, 8192, 9.113207, 1
Ex01 V, 1024, 0.867244, 1
Ex01 nV, 4096, 4.510303, 1
Ex01 V, 2048, 1.723557, 1
Ex01 nV, 16384, 18.313389, 1
Ex01 V, 16384, 18.254453, 1
Ex01 nV, 128, 0.107266, 1
Ex01 nV, 256, 0.214035, 1
Ex01 V, 4096, 5.418656, 1
Ex01 nV, 512, 0.435605, 1
Ex01 nV, 8192, 9.145234, 1
Ex01 nV, 1024, 0.864416, 1
Ex01 V, 128, 0.162523, 1
Ex01 V, 256, 0.317030, 1
Ex01 nV, 2048, 1.723280, 1
Ex01 nV, 16384, 18.241784, 1
Ex01 V, 512, 0.435491, 1
Ex01 V, 1024, 1.243880, 1
Ex01 V, 16384, 18.227944, 1
Ex01 V, 2048, 2.480359, 1
Ex01 nV, 4096, 4.471330, 1
Ex01 nV, 128, 0.162557, 1
Ex01 V, 8192, 11.191846, 1
Ex01 nV, 256, 0.316915, 1
Ex01 nV, 1024, 1.243596, 1
Ex01 V, 128, 0.107249, 1
Ex01 V, 256, 0.214011, 1
Ex01 nV, 2048, 2.480402, 1
Ex01 nV, 8192, 9.143865, 1
Ex01 V, 512, 0.435556, 1
Ex01 nV, 16384, 18.216460, 1
Ex01 V, 1024, 0.864418, 1
Ex01 V, 2048, 1.723654, 1
Ex01 nV, 4096, 4.507508, 1
Ex01 V, 8192, 9.108776, 1
Ex01 V, 4096, 4.515592, 1
Ex01 nV, 128, 0.107260, 1
Ex01 nV, 256, 0.214066, 1
Ex01 nV, 512, 0.435587, 1
Ex01 nV, 1024, 0.864429, 1
Ex01 V, 128, 0.162628, 1
Ex01 nV, 8192, 9.109557, 1
Ex01 nV, 2048, 1.723684, 1
Ex01 V, 512, 0.435655, 1
Ex01 V, 16384, 22.683731, 1
Ex01 V, 1024, 0.864266, 1
Ex01 V, 8192, 9.116073, 1
Ex01 V, 2048, 1.723427, 1
Ex01 V, 16384, 18.244515, 1
Ex01 nV, 128, 0.162537, 1
Ex01 nV, 256, 0.213982, 1
Ex01 nV, 16384, 22.482120, 1
Ex01 nV, 1024, 0.864273, 1
Ex01 V, 128, 0.107278, 1
Ex01 nV, 2048, 1.723512, 1
Ex01 V, 256, 0.214027, 1
Ex01 V, 512, 0.435614, 1
Ex01 nV, 16384, 18.222076, 1
Ex01 V, 1024, 0.864441, 1
Ex01 V, 8192, 9.117732, 1
Ex01 nV, 8192, 11.304659, 1
Ex01 V, 2048, 1.723652, 1
Ex01 V, 16384, 18.267427, 1
Ex01 nV, 4096, 4.471106, 1
Ex01 nV, 128, 0.107245, 1
Ex01 V, 4096, 4.474819, 1
Ex01 nV, 256, 0.214157, 1
Ex01 nV, 512, 0.435761, 1
Ex01 nV, 1024, 0.864383, 1
Ex01 V, 256, 0.316997, 1
Ex01 nV, 8192, 9.139200, 1
Ex01 V, 1024, 1.243928, 1
Ex01 V, 2048, 1.723557, 1
Ex01 nV, 4096, 4.471515, 1
Ex01 V, 16384, 18.243242, 1
