Variant, Problem Size, Time in s, Correct solution
Ex01 nV, 128, 0.072636, 1
Ex01 nV, 256, 0.146060, 1
Ex01 nV, 512, 0.279479, 1
Ex01 nV, 1024, 0.556530, 1
Ex01 nV, 2048, 1.108769, 1
Ex01 nV, 4096, 2.291053, 1
Ex01 nV, 8192, 4.447442, 1
Ex01 nV, 16384, 8.869120, 1
Ex01 nV, 128, 0.072030, 1
Ex01 nV, 256, 0.143238, 1
Ex01 nV, 512, 0.279504, 1
Ex01 nV, 1024, 0.557105, 1
Ex01 nV, 2048, 1.111268, 1
Ex01 nV, 4096, 2.220465, 1
Ex01 nV, 8192, 4.429507, 1
Ex01 nV, 16384, 8.965561, 1
Ex01 nV, 128, 0.071970, 1
Ex01 nV, 256, 0.141948, 1
Ex01 nV, 512, 0.280162, 1
Ex01 nV, 1024, 0.556351, 1
Ex01 nV, 2048, 1.109201, 1
Ex01 nV, 4096, 2.221719, 1
Ex01 nV, 8192, 4.443626, 1
Ex01 nV, 16384, 8.869685, 1
Ex01 nV, 128, 0.072422, 1
Ex01 nV, 256, 0.141394, 1
Ex01 nV, 512, 0.279678, 1
Ex01 nV, 1024, 0.556594, 1
Ex01 nV, 2048, 1.114422, 1
Ex01 nV, 4096, 2.218399, 1
Ex01 nV, 8192, 4.431950, 1
Ex01 nV, 16384, 8.902347, 1
Ex01 nV, 128, 0.072531, 1
Ex01 nV, 256, 0.141990, 1
Ex01 nV, 512, 0.279837, 1
Ex01 nV, 1024, 0.555645, 1
Ex01 nV, 2048, 1.118319, 1
Ex01 nV, 4096, 2.222219, 1
Ex01 nV, 8192, 4.458438, 1
Ex01 nV, 16384, 8.979388, 1
Ex01 nV, 128, 0.072144, 1
Ex01 nV, 256, 0.142322, 1
Ex01 nV, 512, 0.280433, 1
Ex01 nV, 1024, 0.558386, 1
Ex01 nV, 2048, 1.155787, 1
Ex01 nV, 4096, 2.232403, 1
Ex01 nV, 8192, 4.465413, 1
Ex01 nV, 16384, 8.970266, 1
Ex01 nV, 128, 0.072230, 1
Ex01 nV, 256, 0.143683, 1
Ex01 nV, 512, 0.279406, 1
Ex01 nV, 1024, 0.566334, 1
Ex01 nV, 2048, 1.132049, 1
Ex01 nV, 4096, 2.221374, 1
Ex01 nV, 8192, 4.489441, 1
Ex01 nV, 16384, 8.861428, 1
Ex01 nV, 128, 0.072731, 1
Ex01 nV, 256, 0.142309, 1
Ex01 nV, 512, 0.283676, 1
Ex01 nV, 1024, 0.555624, 1
Ex01 nV, 2048, 1.113013, 1
Ex01 nV, 4096, 2.215336, 1
Ex01 nV, 8192, 4.428080, 1
Ex01 nV, 16384, 8.872400, 1
Ex01 nV, 128, 0.072099, 1
Ex01 nV, 256, 0.141169, 1
Ex01 nV, 512, 0.279927, 1
Ex01 nV, 1024, 0.557415, 1
Ex01 nV, 2048, 1.109245, 1
Ex01 nV, 4096, 2.212983, 1
Ex01 nV, 8192, 4.423469, 1
Ex01 nV, 16384, 8.864305, 1
Ex01 nV, 128, 0.075770, 1
Ex01 nV, 256, 0.140784, 1
Ex01 nV, 512, 0.281346, 1
Ex01 nV, 1024, 0.557198, 1
Ex01 nV, 2048, 1.110703, 1
Ex01 nV, 4096, 2.236424, 1
Ex01 nV, 8192, 4.450394, 1
Ex01 nV, 16384, 8.854320, 1
Ex01 nV, 128, 0.073455, 1
Ex01 nV, 256, 0.141410, 1
Ex01 nV, 512, 0.278894, 1
Ex01 nV, 1024, 0.557202, 1
Ex01 nV, 2048, 1.109363, 1
Ex01 nV, 4096, 2.218030, 1
Ex01 nV, 8192, 4.430227, 1
Ex01 nV, 16384, 8.855822, 1
Ex01 nV, 128, 0.072670, 1
Ex01 nV, 256, 0.142150, 1
Ex01 nV, 512, 0.279868, 1
Ex01 nV, 1024, 0.568893, 1
Ex01 nV, 2048, 1.143422, 1
Ex01 nV, 4096, 2.243246, 1
Ex01 nV, 8192, 4.435814, 1
Ex01 nV, 16384, 8.877382, 1
Ex01 nV, 128, 0.072083, 1
Ex01 nV, 256, 0.142164, 1
Ex01 nV, 512, 0.280166, 1
Ex01 nV, 1024, 0.557877, 1
Ex01 nV, 2048, 1.113742, 1
Ex01 nV, 4096, 2.223110, 1
Ex01 nV, 8192, 4.435855, 1
Ex01 nV, 16384, 8.904349, 1
Ex01 nV, 128, 0.072947, 1
Ex01 nV, 256, 0.145045, 1
Ex01 nV, 512, 0.280751, 1
Ex01 nV, 1024, 0.557269, 1
Ex01 nV, 2048, 1.114500, 1
Ex01 nV, 4096, 2.220585, 1
Ex01 nV, 8192, 4.461327, 1
