Problem Size, Time in s, Correct solution
128, 0.108238, 1
256, 0.215206, 1
1024, 0.864826, 1
2048, 1.723347, 1
4096, 4.475127, 1
8192, 9.117731, 1
16384, 18.304405, 1
128, 0.108312, 1
256, 0.215195, 1
512, 0.435524, 1
256, 0.215262, 1
512, 0.435544, 1
1024, 0.864764, 1
2048, 1.723567, 1
8192, 9.145640, 1
4096, 4.509857, 1
128, 0.108234, 1
256, 0.215242, 1
8192, 9.126372, 1
512, 0.435590, 1
1024, 0.864681, 1
2048, 1.723482, 1
16384, 18.249611, 1
4096, 4.476520, 1
128, 0.108258, 1
256, 0.215205, 1
512, 0.435506, 1
1024, 0.864669, 1
8192, 9.183280, 1
2048, 1.723330, 1
16384, 18.279777, 1
4096, 4.473182, 1
128, 0.108269, 1
256, 0.215183, 1
512, 0.435594, 1
1024, 0.864764, 1
8192, 9.111066, 1
2048, 1.723651, 1
16384, 18.217243, 1
4096, 4.481565, 1
128, 0.108255, 1
256, 0.215170, 1
1024, 0.864692, 1
8192, 9.119767, 1
2048, 1.723710, 1
16384, 18.219757, 1
4096, 4.482402, 1
256, 0.215189, 1
128, 0.108235, 1
512, 0.435639, 1
8192, 9.188441, 1
1024, 0.864752, 1
2048, 1.723460, 1
16384, 18.264209, 1
4096, 4.481918, 1
128, 0.108352, 1
256, 0.215255, 1
512, 0.435628, 1
1024, 0.865049, 1
8192, 9.146068, 1
2048, 1.723521, 1
16384, 18.221200, 1
4096, 4.509936, 1
128, 0.108312, 1
256, 0.215234, 1
512, 0.435635, 1
1024, 0.864762, 1
2048, 1.723586, 1
8192, 9.111611, 1
16384, 18.276893, 1
4096, 4.481606, 1
128, 0.108281, 1
512, 0.435572, 1
256, 0.215260, 1
8192, 9.147591, 1
1024, 0.864785, 1
2048, 1.723537, 1
16384, 18.224792, 1
4096, 4.489844, 1
128, 0.108202, 1
512, 0.435750, 1
256, 0.215207, 1
1024, 0.864796, 1
8192, 9.117212, 1
2048, 1.723486, 1
16384, 18.286854, 1
4096, 4.477341, 1
128, 0.108263, 1
256, 0.215251, 1
512, 0.435642, 1
8192, 9.110899, 1
4096, 4.514559, 1
16384, 18.217067, 1
256, 0.215240, 1
512, 0.435567, 1
1024, 0.864918, 1
2048, 1.723352, 1
8192, 9.152919, 1
4096, 4.509498, 1
16384, 18.287432, 1
128, 0.108276, 1
512, 0.435624, 1
256, 0.215154, 1
8192, 9.142891, 1
2048, 1.723633, 1
16384, 18.260364, 1
4096, 4.473866, 1
128, 0.108218, 1
256, 0.215276, 1
512, 0.435705, 1
1024, 0.864959, 1
2048, 1.723156, 1
8192, 9.117903, 1
16384, 18.327244, 1
4096, 4.474549, 1
128, 0.108340, 1
256, 0.215314, 1
512, 0.435582, 1
1024, 0.864772, 1
2048, 1.723424, 1
8192, 9.116506, 1
16384, 18.304167, 1
4096, 4.473798, 1
128, 0.108286, 1
256, 0.215311, 1
1024, 0.864868, 1
512, 0.435883, 1
8192, 9.141788, 1
16384, 18.245232, 1
2048, 1.723476, 1
4096, 4.482523, 1
128, 0.108198, 1
256, 0.215172, 1
512, 0.435686, 1
1024, 0.864952, 1
8192, 9.141162, 1
16384, 18.274747, 1
2048, 1.723294, 1
4096, 4.515310, 1
128, 0.108261, 1
256, 0.215205, 1
512, 0.435635, 1
1024, 0.864940, 1
2048, 1.723529, 1
8192, 9.112518, 1
16384, 18.249311, 1
4096, 4.473928, 1
128, 0.108205, 1
256, 0.215297, 1
512, 0.435590, 1
8192, 9.148113, 1
1024, 0.864713, 1
2048, 1.723557, 1
16384, 18.255645, 1
4096, 4.474796, 1
128, 0.108252, 1
256, 0.215209, 1
512, 0.435576, 1
1024, 0.864799, 1
8192, 9.141309, 1
16384, 18.246169, 1
2048, 1.723431, 1
4096, 4.483234, 1
8192, 9.140012, 1
16384, 18.242894, 1
16384, 18.280240, 1
