Variant, Num Iterations, Time in µs
standard_a, 100000000, 134914
strength_reduction_a, 100000000, 136296
standard_b, 100000000, 136425
strength_reduction_b, 100000000, 135997
standard_c, 100000000, 137976
strength_reduction_c, 100000000, 141758
standard_d, 100000000, 135506
strength_reduction_d, 100000000, 134675
standard_e, 5000000, 6728
strength_reduction_e, 5000000, 6676
standard_f, 1000000, 1362
strength_reduction_f, 1000000, 1335
standard_g, 100000000, 134662
strength_reduction_g_union, 100000000, 134948
strength_reduction_g_union2, 100000000, 134718
strength_reduction_g_bits, 100000000, 137486
standard_a, 100000000, 133696
strength_reduction_a, 100000000, 133569
standard_b, 100000000, 133784
strength_reduction_b, 100000000, 133021
standard_c, 100000000, 133613
strength_reduction_c, 100000000, 134835
standard_d, 100000000, 133039
strength_reduction_d, 100000000, 134516
standard_e, 5000000, 6657
strength_reduction_e, 5000000, 6716
standard_f, 1000000, 1324
strength_reduction_f, 1000000, 1394
standard_g, 100000000, 132719
strength_reduction_g_union, 100000000, 133460
strength_reduction_g_union2, 100000000, 132343
strength_reduction_g_bits, 100000000, 132689
standard_a, 100000000, 134596
strength_reduction_a, 100000000, 133784
standard_b, 100000000, 134179
strength_reduction_b, 100000000, 134264
standard_c, 100000000, 140781
strength_reduction_c, 100000000, 133641
standard_d, 100000000, 133979
strength_reduction_d, 100000000, 133490
standard_e, 5000000, 6619
strength_reduction_e, 5000000, 6654
standard_f, 1000000, 1326
strength_reduction_f, 1000000, 1325
standard_g, 100000000, 133486
strength_reduction_g_union, 100000000, 133788
strength_reduction_g_union2, 100000000, 133531
strength_reduction_g_bits, 100000000, 134651
standard_a, 100000000, 134023
strength_reduction_a, 100000000, 134800
standard_b, 100000000, 136137
strength_reduction_b, 100000000, 133855
standard_c, 100000000, 132859
strength_reduction_c, 100000000, 133952
standard_d, 100000000, 133570
strength_reduction_d, 100000000, 135608
standard_e, 5000000, 6890
strength_reduction_e, 5000000, 6809
standard_f, 1000000, 1336
strength_reduction_f, 1000000, 1334
standard_g, 100000000, 133729
strength_reduction_g_union, 100000000, 134218
strength_reduction_g_union2, 100000000, 134087
strength_reduction_g_bits, 100000000, 132486
standard_a, 100000000, 133884
strength_reduction_a, 100000000, 134255
standard_b, 100000000, 134043
strength_reduction_b, 100000000, 132782
standard_c, 100000000, 133721
strength_reduction_c, 100000000, 132864
standard_d, 100000000, 133939
strength_reduction_d, 100000000, 134154
standard_e, 5000000, 6676
strength_reduction_e, 5000000, 6591
standard_f, 1000000, 1326
strength_reduction_f, 1000000, 1349
standard_g, 100000000, 133730
strength_reduction_g_union, 100000000, 133873
strength_reduction_g_union2, 100000000, 134113
strength_reduction_g_bits, 100000000, 134176
standard_a, 100000000, 136177
strength_reduction_a, 100000000, 134707
standard_b, 100000000, 135260
strength_reduction_b, 100000000, 133771
standard_c, 100000000, 133693
strength_reduction_c, 100000000, 133606
standard_d, 100000000, 133568
strength_reduction_d, 100000000, 135478
standard_e, 5000000, 6697
strength_reduction_e, 5000000, 6725
standard_f, 1000000, 1336
strength_reduction_f, 1000000, 1335
standard_g, 100000000, 134066
strength_reduction_g_union, 100000000, 133722
strength_reduction_g_union2, 100000000, 134138
strength_reduction_g_bits, 100000000, 132883
standard_a, 100000000, 134177
strength_reduction_a, 100000000, 134254
standard_b, 100000000, 133091
strength_reduction_b, 100000000, 130874
standard_c, 100000000, 131156
strength_reduction_c, 100000000, 132940
standard_d, 100000000, 134397
strength_reduction_d, 100000000, 132270
standard_e, 5000000, 6986
strength_reduction_e, 5000000, 6555
standard_f, 1000000, 1289
strength_reduction_f, 1000000, 1307
standard_g, 100000000, 130570
strength_reduction_g_union, 100000000, 130536
strength_reduction_g_union2, 100000000, 132038
strength_reduction_g_bits, 100000000, 134071
standard_a, 100000000, 134984
strength_reduction_a, 100000000, 134793
standard_b, 100000000, 134213
strength_reduction_b, 100000000, 133934
standard_c, 100000000, 134675
strength_reduction_c, 100000000, 139675
standard_d, 100000000, 153107
strength_reduction_d, 100000000, 142546
standard_e, 5000000, 6850
strength_reduction_e, 5000000, 6704
standard_f, 1000000, 1334
strength_reduction_f, 1000000, 1349
standard_g, 100000000, 145982
strength_reduction_g_union, 100000000, 136362
strength_reduction_g_union2, 100000000, 135543
strength_reduction_g_bits, 100000000, 144688
standard_a, 100000000, 134408
strength_reduction_a, 100000000, 136084
standard_b, 100000000, 145543
strength_reduction_b, 100000000, 134639
standard_c, 100000000, 135519
strength_reduction_c, 100000000, 133866
standard_d, 100000000, 133747
strength_reduction_d, 100000000, 135166
standard_e, 5000000, 7118
strength_reduction_e, 5000000, 6697
standard_f, 1000000, 1335
strength_reduction_f, 1000000, 1334
standard_g, 100000000, 134717
strength_reduction_g_union, 100000000, 134217
strength_reduction_g_union2, 100000000, 133838
strength_reduction_g_bits, 100000000, 134810
standard_a, 100000000, 134979
strength_reduction_a, 100000000, 133786
standard_b, 100000000, 134813
strength_reduction_b, 100000000, 134640
standard_c, 100000000, 134059
strength_reduction_c, 100000000, 134375
standard_d, 100000000, 133645
strength_reduction_d, 100000000, 133833
standard_e, 5000000, 6674
strength_reduction_e, 5000000, 6671
standard_f, 1000000, 1342
strength_reduction_f, 1000000, 1346
standard_g, 100000000, 133813
strength_reduction_g_union, 100000000, 134886
strength_reduction_g_union2, 100000000, 134488
strength_reduction_g_bits, 100000000, 134647
standard_a, 100000000, 135065
strength_reduction_a, 100000000, 134396
standard_b, 100000000, 136335
strength_reduction_b, 100000000, 138761
standard_c, 100000000, 134514
strength_reduction_c, 100000000, 136071
standard_d, 100000000, 134288
strength_reduction_d, 100000000, 133592
standard_e, 5000000, 6711
strength_reduction_e, 5000000, 6682
standard_f, 1000000, 1334
strength_reduction_f, 1000000, 1371
standard_g, 100000000, 133865
strength_reduction_g_union, 100000000, 133496
strength_reduction_g_union2, 100000000, 134881
strength_reduction_g_bits, 100000000, 133668
standard_a, 100000000, 134988
strength_reduction_a, 100000000, 134640
standard_b, 100000000, 134552
strength_reduction_b, 100000000, 134699
standard_c, 100000000, 136640
strength_reduction_c, 100000000, 134710
standard_d, 100000000, 141633
strength_reduction_d, 100000000, 136916
standard_e, 5000000, 6650
strength_reduction_e, 5000000, 6719
standard_f, 1000000, 1324
strength_reduction_f, 1000000, 1336
standard_g, 100000000, 133654
strength_reduction_g_union, 100000000, 134010
strength_reduction_g_union2, 100000000, 135333
strength_reduction_g_bits, 100000000, 135438
standard_a, 100000000, 138086
strength_reduction_a, 100000000, 136215
standard_b, 100000000, 138102
strength_reduction_b, 100000000, 136871
standard_c, 100000000, 135002
strength_reduction_c, 100000000, 135719
standard_d, 100000000, 135457
strength_reduction_d, 100000000, 134948
standard_e, 5000000, 6722
strength_reduction_e, 5000000, 6740
standard_f, 1000000, 1334
strength_reduction_f, 1000000, 1345
standard_g, 100000000, 134758
strength_reduction_g_union, 100000000, 134161
strength_reduction_g_union2, 100000000, 135070
strength_reduction_g_bits, 100000000, 135029
standard_a, 100000000, 135694
strength_reduction_a, 100000000, 134434
standard_b, 100000000, 135091
strength_reduction_b, 100000000, 134170
standard_c, 100000000, 133279
strength_reduction_c, 100000000, 133468
standard_d, 100000000, 133790
strength_reduction_d, 100000000, 133017
standard_e, 5000000, 6624
strength_reduction_e, 5000000, 6602
standard_f, 1000000, 1298
strength_reduction_f, 1000000, 1319
standard_g, 100000000, 132934
strength_reduction_g_union, 100000000, 134583
strength_reduction_g_union2, 100000000, 132713
strength_reduction_g_bits, 100000000, 132102
standard_a, 100000000, 134225
strength_reduction_a, 100000000, 133319
standard_b, 100000000, 131057
strength_reduction_b, 100000000, 132951
standard_c, 100000000, 134021
strength_reduction_c, 100000000, 135050
standard_d, 100000000, 141399
strength_reduction_d, 100000000, 134616
standard_e, 5000000, 6684
strength_reduction_e, 5000000, 6713
standard_f, 1000000, 1334
strength_reduction_f, 1000000, 1346
standard_g, 100000000, 134792
strength_reduction_g_union, 100000000, 138915
strength_reduction_g_union2, 100000000, 134451
strength_reduction_g_bits, 100000000, 134791
standard_a, 100000000, 136191
strength_reduction_a, 100000000, 135293
standard_b, 100000000, 140384
strength_reduction_b, 100000000, 136269
standard_c, 100000000, 134928
strength_reduction_c, 100000000, 135103
standard_d, 100000000, 135326
strength_reduction_d, 100000000, 134801
standard_e, 5000000, 6708
strength_reduction_e, 5000000, 6739
standard_f, 1000000, 1343
strength_reduction_f, 1000000, 1345
standard_g, 100000000, 135177
strength_reduction_g_union, 100000000, 136115
strength_reduction_g_union2, 100000000, 143414
strength_reduction_g_bits, 100000000, 135403
standard_a, 100000000, 139590
strength_reduction_a, 100000000, 139578
standard_b, 100000000, 135031
strength_reduction_b, 100000000, 135152
standard_c, 100000000, 138094
strength_reduction_c, 100000000, 139184
standard_d, 100000000, 135048
strength_reduction_d, 100000000, 135003
standard_e, 5000000, 6742
strength_reduction_e, 5000000, 6747
standard_f, 1000000, 1366
strength_reduction_f, 1000000, 1347
standard_g, 100000000, 135802
strength_reduction_g_union, 100000000, 135337
strength_reduction_g_union2, 100000000, 137078
strength_reduction_g_bits, 100000000, 134999
standard_a, 100000000, 135263
strength_reduction_a, 100000000, 134834
standard_b, 100000000, 143618
strength_reduction_b, 100000000, 136005
standard_c, 100000000, 136782
strength_reduction_c, 100000000, 141585
standard_d, 100000000, 134990
strength_reduction_d, 100000000, 135234
standard_e, 5000000, 7064
strength_reduction_e, 5000000, 6740
standard_f, 1000000, 1333
strength_reduction_f, 1000000, 1366
standard_g, 100000000, 134990
strength_reduction_g_union, 100000000, 135181
strength_reduction_g_union2, 100000000, 134894
strength_reduction_g_bits, 100000000, 136072
standard_a, 100000000, 136285
strength_reduction_a, 100000000, 136592
standard_b, 100000000, 134760
strength_reduction_b, 100000000, 135044
standard_c, 100000000, 135135
strength_reduction_c, 100000000, 135584
standard_d, 100000000, 134997
strength_reduction_d, 100000000, 134885
standard_e, 5000000, 6707
strength_reduction_e, 5000000, 6789
standard_f, 1000000, 1345
strength_reduction_f, 1000000, 1333
standard_g, 100000000, 134911
strength_reduction_g_union, 100000000, 135539
strength_reduction_g_union2, 100000000, 135158
strength_reduction_g_bits, 100000000, 135825
standard_a, 100000000, 137937
strength_reduction_a, 100000000, 134770
standard_b, 100000000, 134804
strength_reduction_b, 100000000, 134924
standard_c, 100000000, 135200
strength_reduction_c, 100000000, 139071
standard_d, 100000000, 136447
strength_reduction_d, 100000000, 135002
standard_e, 5000000, 6807
strength_reduction_e, 5000000, 6712
standard_f, 1000000, 1345
strength_reduction_f, 1000000, 1366
standard_g, 100000000, 135947
strength_reduction_g_union, 100000000, 134816
strength_reduction_g_union2, 100000000, 138936
strength_reduction_g_bits, 100000000, 144337
standard_a, 100000000, 134971
strength_reduction_a, 100000000, 134805
standard_b, 100000000, 134703
strength_reduction_b, 100000000, 135303
